YYYYMM,Unit,Coal Production,Natural Gas (Dry) Production,Crude Oil Production,Natural Gas Plant Liquids Production,Total Fossil Fuels Production,Nuclear Electric Power Production,Hydroelectric Power Production,Geothermal Energy Production,Solar Energy Production,Wind Energy Production,Biomass Energy Production,Total Renewable Energy Production,Total Primary Energy Production
201712,Quadrillion Btu,1.277444,2.546113,1.769389,0.444413,6.037359,0.770824,0.204969,0.018115,0.045518,0.204535,0.448499,0.921636,7.729819
201713,Quadrillion Btu,15.625377,28.289335,19.534988,4.987096,68.436796,8.418968,2.766967,0.210233,0.777084,2.342891,5.098747,11.195923,88.051687
201801,Quadrillion Btu,1.26179,2.522278,1.771986,0.428916,5.984971,0.780456,0.228183,0.017604,0.048551,0.233052,0.44508,0.97247,7.737896
201802,Quadrillion Btu,1.225395,2.327165,1.642639,0.408275,5.603474,0.67738,0.22671,0.016471,0.055472,0.211117,0.407868,0.917637,7.198491
201803,Quadrillion Btu,1.331935,2.626738,1.858017,0.467577,6.284267,0.700826,0.235435,0.017836,0.07359,0.240926,0.443437,1.011223,7.996317
201804,Quadrillion Btu,1.178256,2.52668,1.799146,0.461706,5.965787,0.618237,0.25596,0.016034,0.08616,0.240627,0.419576,1.018357,7.602381
201805,Quadrillion Btu,1.240866,2.635302,1.850144,0.484455,6.210767,0.703833,0.277165,0.017981,0.096447,0.218069,0.439621,1.049282,7.963882
201806,Quadrillion Btu,1.250636,2.553969,1.82291,0.467189,6.094704,0.728583,0.251248,0.017053,0.102139,0.224895,0.434512,1.029846,7.853133
201807,Quadrillion Btu,1.280021,2.663578,1.926465,0.495565,6.365629,0.757528,0.228506,0.017862,0.097121,0.14973,0.451901,0.945119,8.068276
201808,Quadrillion Btu,1.408438,2.717547,2.009517,0.512256,6.647758,0.755713,0.200442,0.017839,0.095113,0.180682,0.454811,0.948886,8.352357
201809,Quadrillion Btu,1.268098,2.700338,1.968173,0.499684,6.436293,0.676697,0.174484,0.017308,0.084547,0.168603,0.420524,0.865466,7.978456
201810,Quadrillion Btu,1.349545,2.795167,2.057425,0.510705,6.712843,0.620995,0.177967,0.016983,0.072324,0.192949,0.441384,0.901608,8.235445
201811,Quadrillion Btu,1.277745,2.771123,2.054042,0.49154,6.59445,0.668643,0.199493,0.017335,0.055646,0.200431,0.432494,0.9054,8.168492
201812,Quadrillion Btu,1.290718,2.85001,2.129272,0.499106,6.769105,0.749177,0.207545,0.018558,0.048405,0.221284,0.447277,0.94307,8.461352
201813,Quadrillion Btu,15.363442,31.689895,22.889737,5.726973,75.670047,8.438068,2.663138,0.208865,0.915513,2.482364,5.238484,11.508364,95.616479
201901,Quadrillion Btu,1.331179,2.848784,2.094291,0.508212,6.782465,0.770542,0.220406,0.018335,0.05423,0.228708,0.44289,0.964568,8.517575
201902,Quadrillion Btu,1.178675,2.59617,1.861729,0.475284,6.111858,0.676594,0.198705,0.016779,0.057503,0.209396,0.402382,0.884766,7.673218
201903,Quadrillion Btu,1.1262,2.89091,2.100533,0.528689,6.646332,0.680408,0.232572,0.018476,0.085887,0.237758,0.429032,1.003725,8.330465
201904,Quadrillion Btu,1.233092,2.812496,2.072258,0.517954,6.635801,0.633374,0.232001,0.016499,0.097995,0.270486,0.422896,1.039877,8.309052
201905,Quadrillion Btu,1.24681,2.8907,2.13964,0.54096,6.81811,0.701777,0.273672,0.017658,0.104592,0.236462,0.438367,1.070751,8.590637
201906,Quadrillion Btu,1.144049,2.837185,2.061565,0.518607,6.561406,0.719355,0.240972,0.017622,0.112622,0.208914,0.42923,1.009359,8.29012
201907,Quadrillion Btu,1.194522,2.934294,2.088399,0.523192,6.740407,0.754836,0.216036,0.018245,0.115836,0.200508,0.441656,0.992281,8.487524
201908,Quadrillion Btu,1.289208,2.999831,2.187617,0.528534,7.005189,0.751826,0.191559,0.018225,0.111638,0.180889,0.445598,0.94791,8.704925
201909,Quadrillion Btu,1.183286,2.936442,2.133079,0.539813,6.792619,0.690695,0.148611,0.017823,0.096824,0.222005,0.411846,0.897109,8.380423
201910,Quadrillion Btu,1.16458,3.0791,2.238732,0.561523,7.043935,0.648551,0.14832,0.017019,0.087041,0.256153,0.424908,0.93344,8.625926
201911,Quadrillion Btu,1.099991,2.994292,2.199364,0.538027,6.831675,0.670431,0.186814,0.01534,0.06438,0.233094,0.424845,0.924473,8.426579
201912,Quadrillion Btu,1.076465,3.082153,2.263269,0.555813,6.9777,0.763984,0.202164,0.017241,0.054309,0.247474,0.44753,0.968717,8.710401
201913,Quadrillion Btu,14.268057,34.902356,25.440475,6.336608,80.947496,8.462374,2.491832,0.20926,1.042856,2.731847,5.161181,11.636976,101.046846
202001,Quadrillion Btu,1.124499,3.047073,2.252936,0.575331,6.999839,0.775803,0.221103,0.016478,0.065948,0.258584,0.434391,0.996503,8.772146
202002,Quadrillion Btu,0.958775,2.84342,2.106446,0.519376,6.428017,0.689511,0.2283,0.015174,0.079102,0.266154,0.404082,0.992812,8.110339
202003,Quadrillion Btu,0.930999,3.026773,2.248685,0.58736,6.793817,0.669091,0.202739,0.018544,0.094035,0.268416,0.410886,0.994621,8.457529
202004,Quadrillion Btu,0.777225,2.874953,2.061716,0.533937,6.247831,0.618623,0.189099,0.017184,0.113675,0.268881,0.330796,0.919636,7.786089
